correlation,k1,k2,top_X_percent,probability
-0.1,400,4,0.09999999999999999,1.0
-0.1,400,4,0.11,1.0
-0.1,400,4,0.12,1.0
-0.1,400,4,0.13,1.0
-0.1,400,4,0.14,1.0
-0.1,400,5,0.01,0.0916
-0.1,400,5,0.02,0.6523
-0.1,400,5,0.03,0.9345
-0.1,400,5,0.04,0.994
-0.1,400,5,0.05,0.9991
-0.1,400,5,0.060000000000000005,1.0
-0.1,400,5,0.06999999999999999,1.0
-0.1,400,5,0.08,1.0
-0.1,400,5,0.09,1.0
-0.1,400,5,0.09999999999999999,1.0
-0.1,400,5,0.11,1.0
-0.1,400,5,0.12,1.0
-0.1,400,5,0.13,1.0
-0.1,400,5,0.14,1.0
-0.1,400,6,0.01,0.0288
-0.1,400,6,0.02,0.4666
-0.1,400,6,0.03,0.8609
-0.1,400,6,0.04,0.9821
-0.1,400,6,0.05,0.9982
-0.1,400,6,0.060000000000000005,0.9998
-0.1,400,6,0.06999999999999999,1.0
-0.1,400,6,0.08,1.0
-0.1,400,6,0.09,1.0
-0.1,400,6,0.09999999999999999,1.0
-0.1,400,6,0.11,1.0
-0.1,400,6,0.12,1.0
-0.1,400,6,0.13,1.0
-0.1,400,6,0.14,1.0
-0.1,400,7,0.01,0.0078
-0.1,400,7,0.02,0.2966
-0.1,400,7,0.03,0.7503
-0.1,400,7,0.04,0.9562
-0.1,400,7,0.05,0.9936
-0.1,400,7,0.060000000000000005,0.9997
-0.1,400,7,0.06999999999999999,1.0
-0.1,400,7,0.08,1.0
-0.1,400,7,0.09,1.0
-0.1,400,7,0.09999999999999999,1.0
-0.1,400,7,0.11,1.0
-0.1,400,7,0.12,1.0
-0.1,400,7,0.13,1.0
-0.1,400,7,0.14,1.0
-0.1,400,8,0.01,0.0013
-0.1,400,8,0.02,0.1657
-0.1,400,8,0.03,0.6129
-0.1,400,8,0.04,0.9072
-0.1,400,8,0.05,0.9839
-0.1,400,8,0.060000000000000005,0.9984
-0.1,400,8,0.06999999999999999,0.9998
-0.1,400,8,0.08,1.0
-0.1,400,8,0.09,1.0
-0.1,400,8,0.09999999999999999,1.0
-0.1,400,8,0.11,1.0
-0.1,400,8,0.12,1.0
-0.1,400,8,0.13,1.0
-0.1,400,8,0.14,1.0
-0.1,450,3,0.01,0.573
-0.1,450,3,0.02,0.9619
-0.1,450,3,0.03,0.9981
-0.1,450,3,0.04,1.0
-0.1,450,3,0.05,1.0
-0.1,450,3,0.060000000000000005,1.0
-0.1,450,3,0.06999999999999999,1.0
-0.1,450,3,0.08,1.0
-0.1,450,3,0.09,1.0
-0.1,450,3,0.09999999999999999,1.0
-0.1,450,3,0.11,1.0
-0.1,450,3,0.12,1.0
-0.1,450,3,0.13,1.0
-0.1,450,3,0.14,1.0
-0.1,450,4,0.01,0.3272
-0.1,450,4,0.02,0.8941
-0.1,450,4,0.03,0.9923
-0.1,450,4,0.04,0.9998
-0.1,450,4,0.05,1.0
-0.1,450,4,0.060000000000000005,1.0
-0.1,450,4,0.06999999999999999,1.0
-0.1,450,4,0.08,1.0
-0.1,450,4,0.09,1.0
-0.1,450,4,0.09999999999999999,1.0
-0.1,450,4,0.11,1.0
-0.1,450,4,0.12,1.0
-0.1,450,4,0.13,1.0
-0.1,450,4,0.14,1.0
-0.1,450,5,0.01,0.1455
-0.1,450,5,0.02,0.7742
-0.1,450,5,0.03,0.9739
-0.1,450,5,0.04,0.9986
-0.1,450,5,0.05,0.9999
